Word,POS,Tag
สุรยุทธ์,NR,PER_B
ยัน,VV,O
ปฏิเสธ,VV,O
ลงนาม,VV,O
MOU,FWN,O
กับ,P,O
อียู,NR,ABB_ORG_B
ไม่,NEG,O
กระทบ,JJV,O
สัมพันธ์,VV,O
1,OD,DTM_B
กันยายน,NN,DTM_I
2550,OD,DTM_I
12:21,OD,DTM_B
น.,CL,DTM_I
นายก,NN,O
ฯ,PU,O
ย้ำ,VV,O
ไม่,NEG,O
ลงนาม,VV,O
ใน,P,O
MOU,FWN,O
ร่วม,VV,O
กับ,P,O
อียู,NR,ABB_ORG_B
กรณี,NN,O
ที่,COMP,O
จะ,AUX,O
เข้า,VV,O
มา,VV,O
สังเกต,VV,O
การณ์,NN,O
การ,FXN,O
เลือกตั้ง,VV,O
ของ,P,O
ไทย,NR,LOC_B
ใน,P,O
ลักษณะ,NN,O
เข้า,VV,O
มา,VV,O
ตรวจสอบ,VV,O
ยัน,VV,O
ไทย,NR,LOC_B
ไม่,NEG,O
ได้,AUX,O
ล้มเหลว,VV,O
ถึง,VV,O
ขั้น,NN,O
นั้น,DDEM,O
เชื่อ,VV,O
การ,FXN,O
ปฏิเสธ,VV,O
เรื่อง,NN,O
ดัง,P,O
กล่าว,VV,O
ไม่,NEG,O
กระทบ,VV,O
สัมพันธ์,VV,O
ที่,COMP,O
มี,VV,O
ต่อ,REFX,O
กัน,REFX,O
พร้อม,CNJ,O
หนุน,VV,O
กกต.,NR,ABB_ORG_B
จัด,VV,O
เลือกตั้ง,VV,O
ให้,COMP,O
บริสุทธิ์,VA,O
ยุติธรรม,ADV,O
(,PU,O
1,OD,DTM_B
ก.ย.,NN,DTM_I
),PU,O
พล.อ.,NN,ABB_DES_B
สุรยุทธ์,NR,PER_B
จุลานนท์,NR,PER_I
กล่าว,VV,O
รายการ,NN,O
เปิด,VV,O
บ้านพิษณุโลก,NR,LOC_B
ออกอากาศ,VV,O
ทาง,NN,O
สถานี,NN,ORG_B
วิทยุ,NN,ORG_I
โทรทัศน์,NN,ORG_I
แห่ง,NN,ORG_I
ประเทศ,NN,ORG_I
ไทย,NR,ORG_I
ช่อง,NN,ORG_I
11,OD,ORG_I
กรม,NN,ORG_B
ประชาสัมพันธ์,JJV,ORG_I
กรณี,NN,O
ที่,COMP,O
สหภาพ,NN,ORG_B
ยุโรป,NR,ORG_I
(,PU,O
อียู,NR,ABB_ORG_B
),PU,O
จะ,AUX,O
ขอ,VV,O
เข้า,VV,O
มา,VV,O
สังเกต,VV,O
การณ์,NN,O
การ,FXN,O
เลือกตั้ง,VV,O
ของ,P,O
ไทย,NR,LOC_B
โดย,COMP,O
จะ,AUX,O
ขอ,VV,O
ลงนาม,VV,O
ใน,P,O
บันทึก,NN,O
ความ,FXN,O
เข้าใจ,VV,O
(,PU,O
MOU,FWN,O
),PU,O
ร่วม,VV,O
กัน,REFX,O
ว่า,COMP,O
เป็น,VV,O
เรื่อง,NN,O
ที่,COMP,O
คณะ,NN,ORG_B
กรรมการ,NN,ORG_I
การ,FXN,ORG_I
เลือกตั้ง,VV,ORG_I
ซึ่ง,COMP,O
นาย,NN,TTL_B
อภิชาต,NR,PER_B
สุขัคคานนท์,NR,PER_I
ประธาน,NN,O
กกต.,NR,ABB_ORG_B
ได้,AUX,O
บอก,VV,O
ว่า,COMP,O
เรื่อง,NN,O
ของ,P,O
ความ,FXN,O
ตกลง,VV,O
ร่วมมือ,VV,O
กัน,REFX,O
มี,VV,O
2,CD,MEA_B
ลักษณะ,CL,MEA_I
คือ,VV,O
หาก,CNJ,O
เป็น,VV,O
ลักษณะ,NN,O
ทั่วไป,ADV,O
แล้ว,AUX,O
จะ,AUX,O
ไม่,NEG,O
เข้า,VV,O
มา,VV,O
ยุ่งเกี่ยว,VV,O
กับ,P,O
เรื่อง,NN,O
ของ,P,O
ภาย,NN,O
ใน,P,O
คล้าย,VV,O
ๆ,PU,O
ผู้,FXN,O
สังเกต,JJV,O
การณ์,NN,O
ส่วน,CL,O
อีก,ADV,O
ลักษณะ,NN,O
หนึ่ง,NN,O
ที่,COMP,O
ทาง,NN,O
อียู,NR,ABB_ORG_B
เสนอ,VV,O
มา,VV,O
นั้น,DDEM,O
เป็น,VV,O
ลักษณะ,NN,O
ที่,COMP,O
ขอ,VV,O
เข้า,VV,O
มา,VV,O
ตรวจสอบ,VV,O
เขา,PPER,O
ไม่,NEG,O
ได้,AUX,O
ให้,COMP,O
เหตุผล,NN,O
นะ,PAR,O
ครับ,PAR,O
ซึ่ง,COMP,O
เรา,PPER,O
คง,AUX,O
ไม่,NEG,O
สามารถ,AUX,O
จะ,AUX,O
ยอมรับ,VV,O
ได้,AUX,O
เขา,PPER,O
มา,VV,O
ยุ่ง,NN,O
เกี่ยว,VV,O
กับ,P,O
เรื่อง,NN,O
ภาย,NN,O
ใน,P,O
ของ,P,O
เรา,DPER,O
มาก,JJA,O
จน,CNJ,O
เกิน,ADV,O
ไป,VV,O
เรา,PPER,O
ไม่,NEG,O
ได้,AUX,O
เป็น,VV,O
ประเทศ,NN,O
ที่,COMP,O
ถือ,VV,O
ว่า,COMP,O
มี,VV,O
ความ,FXN,O
ล้มเหลว,VV,O
ใน,P,O
ด้าน,P,O
การ,FXN,O
บริหาร,VV,O
ทุก,PDT,O
สิ่ง,NN,O
ทุก,PDT,O
อย่าง,FXAV,O
ของ,P,O
เรา,DPER,O
นี้,DDEM,O
ยัง,AUX,O
ดำเนิน,VV,O
การ,NN,O
ไป,VV,O
ตาม,VV,O
ปกติ,ADV,O
เพราะฉะนั้น,CNJ,O
ก็,AUX,O
ไม่,NEG,O
จำเป็น,VV,O
ที่,COMP,O
จะ,AUX,O
ต้อง,AUX,O
เข้า,VV,O
มา,VV,O
ตรวจสอบ,VV,O
การ,FXN,O
เลือกตั้ง,VV,O
ของ,P,O
เรา,DPER,O
ใน,P,O
ลักษณะ,NN,O
ที่,COMP,O
ว่า,COMP,O
เป็น,VV,O
ประเทศ,NN,O
ที่,COMP,O
มี,VV,O
การ,FXN,O
บริหาร,VV,O
งาน,NN,O
ล้มเหลว,VV,O
นายก,NN,O
รัฐมนตรี,NN,O
นายก,NN,O
รัฐมนตรี,NN,O
เชื่อ,VV,O
ว่า,COMP,O
การ,FXN,O
ที่,COMP,O
ประเทศ,NN,LOC_B
ไทย,NR,LOC_I
ยินยอม,VV,O
ใน,P,O
เรื่อง,NN,O
การ,FXN,O
ลงนาม,VV,O
MOU,FWN,O
จะ,AUX,O
ไม่,NEG,O
กระทบ,VV,O
ต่อ,P,O
ความ,FXN,O
สัมพันธ์,VV,O
ระหว่าง,P,O
ประเทศ,NN,O
ใน,P,O
อียู,NR,ABB_ORG_B
เพราะ,CNJ,O
เป็น,VV,O
สิทธิ,NN,O
ของ,P,O
เรา,DPER,O
ที่,COMP,O
จะ,AUX,O
ยอม,VV,O
ให้,COMP,O
ใคร,PDEM,O
เข้า,VV,O
มา,VV,O
ตรวจสอบ,VV,O
อะไร,PINT,O
หรือ,CNJ,O
ไม่,NEG,O
อย่างไร,PINT,O
ซึ่ง,COMP,O
สิ่ง,NN,O
ที่,COMP,O
รัฐบาล,NN,O
ต้องการ,VV,O
ยืนยัน,VV,O
คือ,VV,O
พร้อม,VV,O
จะ,AUX,O
สนับสนุน,VV,O
คณะ,NN,O
กรรมการ,NN,O
การ,FXN,O
เลือกตั้ง,VV,O
ให้,COMP,O
จัด,VV,O
การ,FXN,O
เลือกตั้ง,VV,O
ให้,COMP,O
ไป,VV,O
อย่าง,FXAV,O
บริสุทธิ์,JJA,O
ยุติธรรม,ADV,O
ซึ่ง,COMP,O
จุด,NN,O
นี้,DDEM,O
ถือ,VV,O
เป็น,VV,O
ส่วน,NN,O
สำคัญ,VV,O
ที่,COMP,O
ประชาชน,NN,O
คน,NN,O
ไทย,NR,LOC_B
ก็,AUX,O
ควร,AUX,O
จะ,AUX,O
มี,VV,O
ส่วน,NN,O
ร่วม,JJV,O
ด้วย,P,O
ทั้งนี้,CNJ,O
นอกจาก,P,O
กกต.,NR,ABB_ORG_B
ที่,COMP,O
จะ,AUX,O
มี,VV,O
หน้าที่,NN,O
ใน,P,O
การ,FXN,O
จัด,VV,O
การ,FXN,O
เลือกตั้ง,VV,O
ให้,COMP,O
บริสุทธิ์,VA,O
ยุติธรรม,ADV,O
แล้ว,AUX,O
ยัง,AUX,O
จะ,AUX,O
มี,VV,O
ส่วน,NN,O
ราชการ,NN,O
อื่น,DDEM,O
ๆ,PU,O
ที่,COMP,O
เข้า,VV,O
มา,VV,O
ช่วย,VV,O
อาทิ,CNJ,O
สำนัก,NN,ORG_B
งาน,NN,ORG_I
ตำรวจ,NN,ORG_I
แห่ง,P,ORG_I
ชาติ,NN,ORG_I
ประชาชน,NN,O
เป็น,VV,O
ผู้,FXN,O
ตัดสินใจ,VV,O
เลือก,VV,O
พรรค,NN,O
การ,NN,O
เมือง,NN,O
-,PU,O
นัก,FXN,O
การ,NN,O
เมือง,NN,O
